Part number,Part name,Additional name,Location,Total balance,Unit,WH,Serial number
1025952,Decal kit - EC219/EC319,-Info: 980107 x 1. 980110 x 1. 980103 x 1. 980101 x 2.,FLOOR,1.00,Pcs,WH1,
1025953,Decal kit - EC226,,FLOOR,1.00,Pcs,WH1,
1025955,Service package EC209,"-Info: With tilt axle & cylinder axle 
-Info: Documentation 9000257",FLOOR,2.00,Pcs,WH1,
1025956,Service package EC209,"-Info: Rotation & break play 
-Info: Documentation 9000257",FLOOR,1.00,Pcs,WH1,
1025957,Service package EC219/EC319,"-Info: With tilt axle & cylinder axle 
-Info: Documentation 9000257",FLOOR,1.00,Pcs,WH1,
1025958,Service package EC219/EC319,"-Info: Rotation & break play 
-Info: Documentation 9000257 ",FLOOR,1.00,Pcs,WH1,
1025959,Service package EC226,"-Info: With tilt axle & cylinder axle 
-Info: Documentation 9000257",FLOOR,1.00,Pcs,WH1,
1025960,Service package EC226,"-Info: Rotation & break play 
-Info: Documentation 9000257",FLOOR,1.00,Pcs,WH1,
1026706,Swivel 6-channel EC206 complete for Slip ring,,FLOOR,1.00,Pcs,WH1,
1027074,Shim kit centre ring - EC05B/EC206,,FLOOR,1.00,Pcs,WH1,
1027165,Cover plate Power plug-ECO60-top bracket,,FLOOR,2.00,Pcs,WH1,
1027228,"Bucket DB07-320-900-S45-CAT5T 2""",,FLOOR,1.00,Pcs,WH1,EC090809
1027276,"Service package EC206, EC206B",-Info: With tilt axle & cylinder axle,FLOOR,2.00,Pcs,WH1,
1027277,Service package EC206,-Info: Rotation & break play,FLOOR,1.00,Pcs,WH1,
1027291,"Thermoplastic screw TPPT 4,0x12 FZ Black",,FLOOR,10.00,Pcs,WH1,
1027295,FNR rocker - MIG2 Joystick,-Info: Including 1027296 - FNR Skyddshuv gummi,FLOOR,2.00,Pcs,WH1,
1027296,FNR protective cover rubber,,FLOOR,2.00,Pcs,WH1,
1027297,"FCI APEX 150 16S housing, black",,FLOOR,4.00,Pcs,WH1,
1027300,"Pin device FCI APEX 150 16P male housing, black",,FLOOR,2.00,Pcs,WH1,
1027319,Screw bushing EC204,,FLOOR,2.00,Pcs,WH1,
1027363,Connection block P with pressure reducer ECHF/QSM,,FLOOR,1.00,Pcs,WH1,
1027633,"Coupling ECO60 1/2"" male - top bracket V2",-Info: Socket 32 or Mounting Tool: 1013206,FLOOR,6.00,Pcs,WH1,
1027785,Tilt axial washer EC204/EC204B,,FLOOR,2.00,Pcs,WH1,
1027795,Protective cover valve block EC219 ECHF/QSM,,FLOOR,2.00,Pcs,WH1,
1027796,Protective cover valve block EC219 ECHF/QSM - lip,,FLOOR,2.00,Pcs,WH1,
1027820,"Shim tilt axle - EC204/EC204B 0,5mm",,FLOOR,2.00,Pcs,WH1,
1028040,Spacer Hose Bracket 32mm,,FLOOR,4.00,Pcs,WH1,
1028050,Relay 12V Alternating with Flyback diode,-Info: Bosch: 0 332 209 152 (used in 841178),FLOOR,2.00,Pcs,WH1,
1028229,"Dirt protection block/coupling ECO 1/2""",,FLOOR,12.00,Pcs,WH1,
1028274,"Dirt protection block/coupling ECO 3/8""",,FLOOR,8.00,Pcs,WH1,
1028275,"Dirt protection block/coupling ECO 3/4""",,FLOOR,8.00,Pcs,WH1,
1028281,Lubrication kit EC214 dosing block MX-F 5/10,,FLOOR,1.00,Pcs,WH1,
1028504,Swivel EC204 with connection block complete,,FLOOR,1.00,Pcs,WH1,
1028607,Grab cylinder SK10/SG12 & SK15/SG19 SC5H-Q3/1,,FLOOR,1.00,Pcs,WH1,
1028873,"Coupling ECO45/50 3/8"" male - top bracket V2",-Info: Mounting Tool 1013207 or Socket 29,FLOOR,6.00,Pcs,WH1,
1029052,Yoke Bracket EC204/EC204B forward complete,,FLOOR,1.00,Pcs,WH1,
1029142,"Coupling ECO70 3/4"" male - top bracket V2",-Info: Socket 41 or Mounting Tool: 1015734,FLOOR,4.00,Pcs,WH1,
1029175,Mounting plate-QLM,,FLOOR,2.00,Pcs,WH1,
1029217,Axle grab cylinder against frame GRD60/GRD70,,FLOOR,2.00,Pcs,WH1,
1029432,Positioning nut-Inductive sensor QS/HYDS/S60/QSM45/50/60/70,,FLOOR,6.00,Pcs,WH1,
1029539,"GAF-GH1000-S45-100x45x1200 FEM-2,9t TP500","-Version: Mechanical
-ECOil: #N/A
-Feed hose couplings: #N/A
-Frame width: 1000
-Fork dimensions: 100x45x1200
-Max load: 2,9T
-Other:",FLOOR,1.00,Pcs,WH1,EC086886
1029826,Cover plate EC02B/EC204-tilt cylinder-DC2/ss10/ss5,,FLOOR,1.00,Pcs,WH1,
1029849,Tilt cylinder EC204,,FLOOR,1.00,Pcs,WH1,
1029902,Protective cover tilt cylinder EC02B/EC204,,FLOOR,2.00,Pcs,WH1,
1030616,Spacer Hose Bracket 28mm,,FLOOR,4.00,Pcs,WH1,
1030910,Rotation sensor ePS-EC214,,FLOOR,2.00,Pcs,WH1,
1031144,Grab arm GRD60 left,,FLOOR,2.00,Pcs,WH1,
1031147,Grab arm GRD60 right,,FLOOR,2.00,Pcs,WH1,
1031185,Protective cover valve block EC226 ECHF/QSM - lip,,FLOOR,2.00,Pcs,WH1,
