item_no,description,price_jpy
7000529,"Adjustable throttling NDV6 G1/8""",23600
790124,Air bleed nipple,1700
7001851,"Air bleed valve R1/8'' 2,5bar",1300
810252,AMP cover 23P Unit cable DC1,2500
810217,AMP Junior Timer (JT) 2P connector device,3200
810218,AMP Junior Timer (JT) 2S connector device,2200
842156,AMPseal 35S connector device (incl. 20 sockets),14200
841803,AMPseal Socket kit (20pcs),6000
1032314,Arm narrow TG25HD,299400
1034988,Arm narrow TG28HD,513900
1034822,Arm narrow TG42HD,473800
1072610,Arm narrow TG42HD V2,504600
1033557,Arm narrow TG55HD,584900
202960,Arm S30 SEMI as of 0606,8600
303417,Arm S40 as of 0606,22200
1080680,Arm S40 SEMI V2,6600
1051795,Arm SG03,182100
1051846,Arm SG06,203700
1053591,Arm SG12,368800
1051706,Arm SG19,640400
1051763,Arm SG26,679000
1051792,Arm SG33,1214500
1032319,Arm wide TG25,328700
1034977,Arm wide TG28HD,489200
1034821,Arm wide TG42HD,500000
1072484,Arm wide TG42HD V2,550900
1033570,Arm wide TG55HD,600300
1025094,Assembly Aids- power plug eco,10800
841200,Assembly Aids-block The shuttle valve-DC2,91700
1070868,Assembly kit-3rd party tilt sensor-EC209A & B,71500
1070867,Assembly kit-3rd party tilt sensor-EC214->EC233-DC2,60500
1079936,Assembly kit-3rd party tilt sensor-QS type MQH,52200
1079937,Assembly kit-3rd party tilt sensor-S type MQH,46000
8000988,Assembly kit-Accumulator & QH valve Hyundai,89700
8000970,Assembly kit-Accumulator 7001086,96800
842170,Assembly kit-C2C,4600
8000806,Assembly kit-CV-1PY Doosan,11000
841151,Assembly kit-DC2 (Velcro & screw),4600
8000813,Assembly kit-DC2 Doosan,12800
8000952,Assembly kit-DC2 Hyundai,13300
8001088,Assembly kit-for LS-adapter plate 7001175,4500
1056839,Assembly kit-GS520 tilt sensor-ECHF-QSM,44400
841193,Assembly kit-Joystick DF-DC2,22700
8000239,Assembly kit-Joystick-MIG2 V2,12300
1050961,Assembly kit-Liebherr Carling switch,14800
8000665,Assembly kit-Liebherr Std,38600
842169,Assembly kit-MAP Volvo-DC2,4600
8000323,Assembly kit-MAP-Komatsu-DC2,1700
8001987,Assembly kit-MGM,21000
8002057,Assembly kit-MGM-Doosan,9900
8001991,Assembly kit-MGM-Volvo Smart Connect,21500
7000222,Assembly kit-Middle piece-Volvo EW60E,30600
8000464,Assembly kit-Mounting plate-Volvo EW/E as of 32200,9000
8000668,Assembly kit-Optional valve-Liebherr 914-920,3000
8000986,Assembly kit-QPM,9700
1048778,Assembly kit-QSC C2C-Volvo FF,15300
842165,Assembly kit-QS-QLM,1800
8001406,Assembly kit-Resistor Volvo,11000
8000079,Assembly kit-ss9-2 (Velcro + screw),4600
8000807,Assembly kit-Track control Doosan,17300
8000708,Assembly kit-Track control Kobelco SK75 - SK85,19800
8000669,Assembly kit-Track control Liebherr,35800
7000786,Assembly kit-Valve block,59600
8000525,Assembly kit-Volvo EW/EWR from 32200,10500
8000812,Assembly kit-Wheel control Doosan,18400
712103,Assembly stop WEO Coupling 0357490400,500
405580,Assembly yoke - Locking cylinder S30 (303489),19300
1029973,"Attachment angle sensor EC219,EC226-5V/6CH-swivel",19800
1030538,Attachment angle sensor EC30,9400
1061832,Attachment block ECO40 W-top bracket-with pin,211
1069400,Attachment block ECO40 W-top bracket-with pin V2,42000
1041097,Attachment block ECO45 W-top bracket,73000
1041645,Attachment block ECO50 W right-top bracket,86900
1042255,Attachment block ECO60 W-top bracket,68200
1023973,Attachment block ECO60-top bracket,60800
1042233,Attachment block ECO70 W-top bracket,114000
